filename,Max_Metal_Charge
DB0-m3_o25_o460_f0_fsc,1.087129
DB0-m3_o6_o23_f0_nbo,1.303733
DB1-Cu2O8N2-DPAC_A-irmof7_A_No558_repeat,0.932993
DB0-m2_o24_o29_f0_pcu,0.907486
DB0-m3_o23_ucn_repeat,1.427534
DB0-m29_o89_o90_f0_pts,1.471831
DB0-m2_o2_o3_f0_nbo,1.019942
DB0-m3_o18_o26_f0_pcu,1.02205
DB0-m2_o22_o27_f0_pcu,0.916111
DB0-m9_o23_o25_f0_sra,1.435577
DB0-m3_o9_o28_f0_nbo,1.292278
DB0-m3_o160_o81_f0_fsc,1.082377
DB0-m3_o16_o18_f0_pcu,1.050484
DB1-Cu2N8-irmof6_B-irmof7_B_No237_repeat,1.073813
DB0-m3_o155_o46_f0_fsc,1.029193
DB0-m2_o24_o27_f0_pcu,0.899981
DB0-m3_o25_o115_f0_fsc,1.082689
DB0-m3_o25_o153_f0_fsc,1.101892
DB0-m3_o2_une_repeat,1.319352
DB0-m3_o10_o18_f0_pcu,1.043892
DB1-Zn2O8-AZO_A-DPAC_A_No1089_repeat,1.254535
DB0-m9_o3_o13_f0_sra,1.336874
DB0-m3_o4_o510_f0_fsc,1.071817
DB5-hypotheticalMOF_30074_2_1_2_24_25_1_repeat,0.785546
DB0-m2_o3_o19_f0_nbo,0.968724
DB0-m3_o16_o16_f0_pcu,1.074298
DB0-m3_o8_o8_f0_pcu,1.072132
DB0-m2_o22_o29_f0_pcu,0.930422
DB1-Cu2O8-AZO_A-irmof7_A_No17_repeat,1.108427
DB5-hypotheticalMOF_5060974_2_1_2_18_17_10_repeat,1.090286
DB0-m3_o2_o11_f0_nbo,1.336684
DB0-m2_o9_o17_f0_nbo,1.016434
DB6-cuf_7387_repeat,1.015402
DB0-m3_o146_o13_f0_fsc,1.034538
DB0-m3_o13_o26_f0_pcu,1.050736
DB6-cuf_4458_repeat,0.83862
DB0-m29_o90_o147_f0_pts,1.46697
DB0-m3_o1_o16_f0_pcu,1.030386
DB0-m3_o1530_o156_f0_fsc,1.041417
DB0-m2_o6_o8_f0_pcu,1.013038
DB1-Cu2O8-ADC_A-irmof7_A_No1144_repeat,1.046536
DB0-m3_o147_o13_f0_fsc,1.028891
DB0-m9_o6_o23_f0_sra,1.359352
DB0-m3_o11_o21_f0_pcu,1.057917
DB0-m3_o4_o45_f0_fsc,1.072427
DB0-m3_o17_o21_f0_pcu,1.034192
DB0-m3_o4_o4_f0_nbo,1.295984
DB0-m3_o149_o23_f0_fsc,1.107613
DB0-m2_o9_o19_f0_nbo,1.010804
DB0-m9_o9_o19_f0_sra,0.897861
DB0-m2_o6_o27_f0_nbo,1.029068
DB0-m3_o6_o151_f0_fsc,1.11017
DB0-m2_o7_o27_f0_nbo,0.964687
DB5-hypotheticalMOF_35758_1_1_2_14_24_0_repeat,0.963938
DB0-m9_o4_o17_f0_sra,1.395143
DB0-m29_o90_o52_f0_pts,1.402285
DB6-cuf_3671_repeat,0.966332
DB7-ddmof_16453_repeat,1.480689
DB0-m18_o7_o77_f0_fsc_repeat,1.093838
DB0-m3_o4_o20_f0_nbo,1.309268
DB0-m3_o160_o470_f0_fsc,1.011125
DB0-m3_o146_o15_f0_fsc,0.984331
DB0-m2_o9_o11_f0_nbo,0.969876
DB0-m3_o8_o16_f0_pcu,1.078938
DB1-AlO6-mof200_No13_repeat,1.427084
DB0-m3_o13_o20_f0_pcu,1.036721
DB5-hypotheticalMOF_32986_0_0_2_0_21_0_repeat,0.921555
DB0-m2_o13_o101_f0_fsc_repeat,1.012382
DB0-m29_o90_o1530_f0_pts,1.470265
DB0-m3_o10_o27_f0_pcu,1.009557
DB0-m2_o5_o28_f0_nbo,1.037019
DB0-m29_o81_o91_f0_pts,1.485236
DB0-m3_o25_o28_f0_pcu,1.097233
DB0-m29_o93_o151_f0_pts,1.369196
DB0-m3_o18_o470_f0_fsc,1.062954
DB0-m3_o16_o29_f0_pcu,1.067868
DB0-m3_o13_o17_f0_pcu,1.068174
DB0-m2_o15_o25_f0_nbo,1.053278
DB0-m3_o9_o19_f0_nbo,1.295619
DB0-m2_o3_o25_f0_nbo,1.03099
DB0-m9_o6_o25_f0_sra,1.402844
DB13-nbo-Syn035441_repeat,1.026849
DB5-hypotheticalMOF_33613_0_0_2_13_2_11_repeat,0.93712
DB0-m29_o90_o102_f0_pts,1.41826
DB0-m3_o10_o29_f0_pcu,1.014305
DB3-ssb_sym_5_mc_2_sym_5_on_9_____repeat,1.021604
DB0-m3_o1480_o155_f0_fsc,1.050697
DB5-hypotheticalMOF_5060386_1_0_2_12_13_2_repeat,1.069557
DB0-m2_o7_o26_f0_pcu,0.802467
DB0-m3_o2_o20_f0_nbo,1.30684
DB0-m29_o81_o1470_f0_pts,1.460883
DB0-m29_o85_o111_f0_pts,1.43535
DB0-m29_o96_o100_f0_pts,1.509806
DB0-m3_o1_o27_f0_nbo,1.296443
DB2-mof_11067_repeat,1.089901
DB15-cdl_N87_E15_opt_repeat,1.038625
DB0-m29_o88_o530_f0_pts,1.487687
DB0-m3_o16_o27_f0_pcu,1.057493
DB5-hypotheticalMOF_5044070_2_0_1_20_18_6_repeat,0.961418
DB0-m29_o88_o149_f0_pts,1.388835
DB5-hypotheticalMOF_6003235_0_0_3_19_17_5_repeat,1.2449
DB6-cuf_6567_repeat,0.88858
DB0-m2_o3_o4_f0_nbo,1.000158
DB6-cuf_9622_repeat,0.928668
DB0-m3_o520_o155_f0_fsc,1.033856
DB1-Cu2O8N2-ADC_A-irmof14_A_No643_repeat,1.13995
DB0-m3_o1530_o14_f0_fsc,1.041028
DB13-lvt-Syn022609_repeat,1.02352
DB0-m29_o80_o420_f0_pts,1.48659
DB0-m9_o23_o23_f0_sra,1.410855
DB0-m3_o450_o13_f0_fsc,0.980126
DB0-m2_o3_o11_f0_nbo,0.993323
DB12-FIPXAF_clean_repeat,0.924532
DB13-acs-Syn036763_repeat,0.497787
DB5-hypotheticalMOF_5015483_2_1_0_3_12_5_repeat,1.279038
DB0-m3_o25_o78_f0_fsc,1.104938
DB0-m2_o9_o28_f0_nbo,0.993993
DB0-m2_o5_o11_f0_nbo,0.998958
DB0-m29_o83_o108_f0_pts,1.479982
DB13-hxg-Syn029488_repeat,1.57326
DB0-m3_o11_o25_f0_pcu,1.105244
DB0-m3_o16_o148_f0_fsc,1.081996
DB0-m29_o84_o1500_f0_pts,1.477999
DB15-sxc_N77_E119_unopt_repeat,1.573725
DB6-cuf_2091_repeat,0.967001
DB7-ddmof_22233_repeat,1.274108
DB0-m3_o6_o16_f0_pcu,1.087711
DB0-m2_o19_o25_f0_nbo,1.021165
DB0-m3_o1_o8_f0_pcu,1.034893
DB0-m2_o1_o25_f0_nbo,0.996226
DB0-m3_o12_o23_f0_pcu,1.096231
DB0-m3_o7_o23_f0_nbo,1.357389
